"id","client_id","event_name","theme_name","start_date","start_time","end_time","municipality_name","barangay_name","notes","status","created_at","updated_at"
"36","4","Concert","Rock","2025-01-07","07:41:00","09:40:00","Mandaue City","Guizo",NULL,"COMPLETED","2025-01-07 14:40:12","2025-01-07 14:43:41"
"37","4","Birthday","Disco","2025-01-07","07:51:00","09:53:00","Liloan","Cotcot",NULL,"COMPLETED","2025-01-07 14:50:26","2025-01-07 14:51:43"
"38","4","Concert","Pop","2025-01-07","08:56:00","09:58:00","Mandaue City","Centro",NULL,"COMPLETED","2025-01-07 14:55:51","2025-01-07 14:57:12"
"39","4","Birthday Celebration","Fairy Tale","2025-01-07","22:00:00","23:20:00","Downtown City","Central Barangay","Please bring your costumes.","CANCELLED","2025-01-07 15:03:47","2025-01-07 15:06:24"
"40","4","Birthday Celebration","Fairy Tale","2025-01-07","22:00:00","23:20:00","Downtown City","Central Barangay","Please bring your costumes.","COMPLETED","2025-01-07 15:05:23","2025-01-07 15:07:59"
"43","4","Birthday Celebration","Fairy Tale","2025-01-07","22:00:00","23:20:00","Downtown City","Central Barangay","Please bring your costumes.","COMPLETED","2025-01-07 15:42:06","2025-01-07 15:43:20"
"44","14","Concert","Pop","2025-01-07","12:00:00","17:00:00","Mandaue City","Umapad",NULL,"CANCELLED","2025-01-07 19:08:31","2025-01-15 11:27:05"
"45","4","Concert","Rock","2025-01-07","22:00:00","23:20:00","Downtown City","Central Barangay","Please bring your costumes.","COMPLETED","2025-01-07 20:55:13","2025-01-07 20:56:32"
"46","4","Concert","Rock","2025-01-07","22:00:00","23:20:00","Downtown City","Central Barangay","Please bring your costumes.","PENDING","2025-01-07 21:20:34","2025-01-07 21:20:34"
"47","24","Birthday","Disco","2025-01-14","20:09:00","22:09:00","Liloan","Poblacion",NULL,"COMPLETED","2025-01-15 02:09:21","2025-01-15 02:12:46"
"48","14","Wedding","Romantic","2025-01-15","06:00:00","10:00:00","Mandaue City","Umapad",NULL,"COMPLETED","2025-01-15 11:28:46","2025-01-15 23:45:39"
"49","96","Concert","Rock","2025-01-15","04:30:00","05:30:00","Lapu-Lapu City","Babag",NULL,"COMPLETED","2025-01-15 12:19:47","2025-01-16 03:20:09"
"50","38","Reunion","Highschool","2025-01-18","11:30:00","16:30:00","Lapu-Lapu City","Gun-ob",NULL,"ACCEPTED","2025-01-15 18:27:50","2025-01-15 19:04:22"
"51","14","Concert","Rock","2025-01-17","09:00:00","15:30:00","Lapu-Lapu City","Marigondon",NULL,"CANCELLED","2025-01-15 23:42:22","2025-01-16 01:32:29"
"52","14","Wedding","Garden Party","2025-01-15","15:56:00","23:00:00","Lapu-Lapu City","Poblacion",NULL,"COMPLETED","2025-01-15 23:55:19","2025-01-16 00:00:17"
"53","97","Wedding","Romantic","2025-01-15","16:30:00","22:30:00","Liloan","Catarman",NULL,"COMPLETED","2025-01-16 00:27:06","2025-01-16 00:31:48"
"54","97","Wedding","Romantic","2025-01-15","16:40:00","23:00:00","Lapu-Lapu City","Marigondon",NULL,"COMPLETED","2025-01-16 00:39:26","2025-01-16 00:44:24"
"55","97","Birthday","Disco","2025-01-15","16:50:00","23:00:00","Mandaue City","Mantuyong",NULL,"COMPLETED","2025-01-16 00:50:00","2025-01-16 00:50:52"
"56","14","Birthday","Hollywood Glam","2025-01-15","18:00:00","23:00:00","Consolacion","Pitogo",NULL,"COMPLETED","2025-01-16 01:31:49","2025-01-16 01:32:26"
"57","14","Wedding","Rustic","2025-01-15","18:00:00","23:00:00","Mandaue City","Cambaro",NULL,"COMPLETED","2025-01-16 01:34:27","2025-01-16 01:35:07"
"58","14","Wedding","Fairytale","2025-01-15","18:00:00","23:30:00","Lapu-Lapu City","Marigondon",NULL,"COMPLETED","2025-01-16 01:37:39","2025-01-16 01:38:13"
"59","97","Concert","Rock","2025-01-15","18:00:00","23:00:00","Cebu City","Ermita",NULL,"COMPLETED","2025-01-16 01:42:15","2025-01-16 01:44:56"
"60","97","Birthday","Casual","2025-01-15","19:00:00","23:00:00","Lapu-Lapu City","Buaya",NULL,"COMPLETED","2025-01-16 01:47:01","2025-01-16 01:47:19"
"61","97","Concert","Rock","2025-01-15","19:00:00","23:30:00","Mandaue City","Alang-Alang",NULL,"COMPLETED","2025-01-16 02:59:13","2025-01-16 03:03:51"
"62","38","Graduation","Class Colors","2025-01-15","20:30:00","21:30:00","Lapu-Lapu City","Gun-ob","ayeah na this","COMPLETED","2025-01-16 04:09:02","2025-01-16 04:31:33"
